Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Nhà riêng	Nha Trang Homestay Vy House - 6 phòng ngủ	12 khách · 6 Phòng ngủ · 4 phòng tắm	3,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Nhà riêng	Phòng 2 giường - YellowHouse	3 khách · 1 Phòng ngủ · 1 phòng tắm	330,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	Camellia Apartment - View biển trực diện - Căn hộ tiện nghi sang trọng tại Số 4 Mường Thanh	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Beach Front Apartments Nha Trang	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	999 CONDOTEL Mường Thanh Viễn Triều - Căn hộ 2 Phòng ngủ Nhìn ra biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	749,250₫/đêm 999,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	999 CONDOTEL Mường Thanh Viễn Triều - Căn hộ 2 Phòng ngủ Nhìn ra 1 phía biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	599,200₫/đêm 749,000₫	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	BlueMoon_Studio Deluxe (101)	4 khách · 1 Phòng ngủ · 1 phòng tắm	748,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	HANOI BY NIGHT - Căn hộ Superior - Tầng Cao View xéo biển và Thành phố - Cảm nhận Nha Trang về đêm	6 khách · 2 Phòng ngủ · 2 phòng tắm	800,000₫/đêm 1,000,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	999 CONDOTEL Mường Thanh Viễn Triều - Căn hộ 2 Phòng ngủ Nhìn ra 1 phía biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	599,200₫/đêm 749,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	999 CONDOTEL Mường Thanh Viễn Triều - Căn hộ 2 Phòng ngủ Nhìn ra Biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	749,250₫/đêm 999,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	999 CONDOTEL Mường Thanh Viễn Triều - Căn hộ 2 Phòng ngủ nhìn ra Biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	749,250₫/đêm 999,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	RedDoorz Cozy Room II Quiet II Steps to Beach - NHA2881	2 khách · 1 Phòng ngủ · 1 phòng tắm	272,000₫/đêm 340,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Clean & Private Room II Quiet II 3 min to Beach- NHA2881	2 khách · 1 Phòng ngủ · 1 phòng tắm	272,000₫/đêm 340,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Nice & Clean Room II Simple II Close to Beach - NHA2881	2 khách · 1 Phòng ngủ · 1 phòng tắm	272,000₫/đêm 340,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	999 CONDOTEL Mường Thanh Viễn Triều - Căn hộ nhìn ra biển và thành phố	6 khách · 2 Phòng ngủ · 2 phòng tắm	639,200₫/đêm 799,000₫	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Mộc Homestay Nha Trang - Aquarium Apartment in the sunny city 202	3 khách · 1 Phòng ngủ · 1 phòng tắm	570,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Family Clean Room II Quiet Stay II 3 Min to Beach- NHA2881	4 khách · 1 Phòng ngủ · 1 phòng tắm	384,000₫/đêm 480,000₫	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Mộc Homestay Nha Trang - Starry Apartment In The City Center 302	3 khách · 1 Phòng ngủ · 1 phòng tắm	570,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Thap Ba Hana Apartment - Brand new Deluxe Apartment close to the beach	4 khách · 1 Phòng ngủ · 1 phòng tắm	589,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Seaside Apartment - Căn hộ cao cấp sát cạnh bãi biển - 12A22	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	MIMANCHI NHA TRANG 12A30 căn hộ du lịch gia đình - cảnh biển khu du lịch HÒN CHỒNG	6 khách · 2 Phòng ngủ · 2 phòng tắm	849,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	DHP LUXURY Mountain View 03	2 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Ta'or Homestay - 2 Tatami Bedrooms - Seaview & Cityview	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Chin Hostel Nha Trang - Friend's room	8 khách · 1 Phòng ngủ · 3 phòng tắm	2,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Homestay Nha Trang Space & Time - Room with private toilet	2 khách · 1 Phòng ngủ · 1 phòng tắm	350,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	La Casa Nha Trang - Deluxe Sea View	2 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Windmill Villa	3 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Seaside Apartment - Căn hộ cao cấp sát cạnh bãi biển - 2224	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Mint Home Nha Trang 02	5 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Garden Village - Phòng Đôi	4 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Căn hộ 2phong ngủ với tầm nhìn ra cửa biển	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	YÊN NHIÊN HOME 2 - YOUR SEASIDE HOME IN NHA TRANG	5 khách · 2 Phòng ngủ · 2 phòng tắm	2,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Marilyn- Double Superior	3 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Marilyn- Double Standard	3 khách · 1 Phòng ngủ · 1 phòng tắm	550,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Marilyn - Triple Superior	4 khách · 1 Phòng ngủ · 1 phòng tắm	930,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Happy Family	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments - Connecting apartment with sea view balcony	4 khách · 2 Phòng ngủ · 2 phòng tắm	3,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments - Connecting room with Sea view balcony	4 khách · 2 Phòng ngủ · 2 phòng tắm	3,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments - Three-Bedroom Apartment with Sea View	7 khách · 3 Phòng ngủ · 2 phòng tắm	4,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Phương Anh Studio_02	3 khách · 1 Phòng ngủ · 1 phòng tắm	460,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	K'home apartment - Very nice & cozy place (K2)	8 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Meriton - Superior King Bed Room	2 khách · 1 Phòng ngủ · 1 phòng tắm	900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	TIVI HOUSE	6 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	HANOI BY NIGHT - Căn hộ Deluxe Hướng biển và thành phố - Màn đêm tuyệt đẹp	4 khách · 2 Phòng ngủ · 2 phòng tắm	880,000₫/đêm 1,100,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Super Beautiful Room II Simple II Steps to Beach- NHA2881	2 khách · 1 Phòng ngủ · 1 phòng tắm	272,000₫/đêm 340,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Super Cozy Room II Quiet Stay II 3 min to Beach- NHA2881	2 khách · 1 Phòng ngủ · 1 phòng tắm	272,000₫/đêm 340,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Family Bright Room II Peaceful II 3 Min to Beach- NHA2881	4 khách · 1 Phòng ngủ · 1 phòng tắm	384,000₫/đêm 480,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	RedDoorz Family Room II Clean II Steps to Beach- NHA2881	4 khách · 1 Phòng ngủ · 1 phòng tắm	384,000₫/đêm 480,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments- 2BEDROOM APARTMENT WITH PARTLY SEA VIEW	7 khách · 2 Phòng ngủ · 2 phòng tắm	4,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments - Connecting Room with Balcony	5 khách · 2 Phòng ngủ · 2 phòng tắm	2,470,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments - Family one bedroom apartment with balcony	5 khách · 1 Phòng ngủ · 1 phòng tắm	2,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Five-star Seaview Studio Apartment in The Costa Residences Building (902)	4 khách · 1 Phòng ngủ · 1 phòng tắm	2,034,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Căn hộ Gemma Apartment No 7	2 khách · 1 Phòng ngủ · 1 phòng tắm	577,500₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	BlueMoon_Family Suite Vip 202	6 khách · 1 Phòng ngủ · 1 phòng tắm	924,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	BlueMoon_Studio Deluxe 103	4 khách · 1 Phòng ngủ · 1 phòng tắm	616,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	BlueMoon_Family Suite Vip 201	6 khách · 1 Phòng ngủ · 1 phòng tắm	924,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	BlueMoon_Family Suite Vip 102	6 khách · 1 Phòng ngủ · 1 phòng tắm	858,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Blu One Elegant 2 bedrooms Apartment #4	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,690,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	HaMy Apartment trực diện biển	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	BlueMoon_Senior Deluxe 203	5 khách · 1 Phòng ngủ · 1 phòng tắm	900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	EmƠi home - quiet center 2 bedrooms - 8mins to beach	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	64/NM.1 Annie's Homestay [Family group]	5 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	HaNa House - Grey	8 khách · 2 Phòng ngủ · 2 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Nhà riêng	64/NM.3 Annie homestay. Solo - Couple	3 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	64/NM.4 Annie homestay. Big family	8 khách · 1 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	CĂN HỘ VCN PARK APARTMENT	3 khách · 1 Phòng ngủ · 1 phòng tắm	250,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Coral House - Entire House	8 khách · 3 Phòng ngủ · 3 phòng tắm	1,240,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	3	
Căn hộ Studio	Studio 1. 22/6 Annie Homestay for couple	2 khách · 1 Phòng ngủ · 1 phòng tắm	530,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Studios 2. 22/6 Annie Homestay for couple	2 khách · 1 Phòng ngủ · 1 phòng tắm	530,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Studio 3. 22/6 Annie Homestay for couple	2 khách · 1 Phòng ngủ · 1 phòng tắm	530,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Studio 4. 22/6 Annie Homestay	6 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	S:house Phòng Deluxe giường đôi 1	2 khách · 1 Phòng ngủ · 1 phòng tắm	536,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	S:house Phòng Deluxe giường đôi có ban công 1	2 khách · 1 Phòng ngủ · 1 phòng tắm	630,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	S:house Phòng Deluxe giường đôi có ban công 2	2 khách · 1 Phòng ngủ · 1 phòng tắm	630,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	S:house Phòng Deluxe giường đôi có ban công 3	2 khách · 1 Phòng ngủ · 1 phòng tắm	630,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	64/NM.2 Annie homestay. Solo - Couple	2 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	HANOI BY NIGHT - Căn hộ Tiêu chuẩn View Thành phố với Nội thất tiện nghi	4 khách · 2 Phòng ngủ · 2 phòng tắm	720,000₫/đêm 900,000₫	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự · An Viên Nha Trang	Villas 06 bedroom with pool	12 khách · 6 Phòng ngủ · 5 phòng tắm	4,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Cồn Tân Lập	Căn hộ 3 phòng ngủ view sông MT04	6 khách · 3 Phòng ngủ · 2 phòng tắm	1,364,400₫/đêm 1,516,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Blu One Elegant 2 bedrooms Apartment #2	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,690,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio · Nha Trang Center	Kem & Stay Nha Trang - Romantic with Bohemia style - White colorful room 5 mins walk to beach	4 khách · 1 Phòng ngủ · 1 phòng tắm	370,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Central Holiday Apartment (4 bedrooms)	10 khách · 4 Phòng ngủ · 1 phòng tắm	3,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Ta'or Homestay - 4 Bedrooms - Balcony Seaview	10 khách · 4 Phòng ngủ · 2 phòng tắm	2,250,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Cồn Tân Lập	căn hộ góc phố và sông	6 khách · 3 Phòng ngủ · 2 phòng tắm	1,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Mint Home Nha Trang 03	5 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Căn hộ 3 giường view biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,286,950₫/đêm 1,429,944₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Eagle's - Sea view balcony Twin double bed	5 khách · 1 Phòng ngủ · 1 phòng tắm	599,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Two bedroom apartment at the corner	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Phi Yến Apartments - Deluxe Beach View	6 khách · 2 Phòng ngủ · 1 phòng tắm	1,450,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Holi Bayview Nha Trang Superior Apartment	5 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	An Home	10 khách · 4 Phòng ngủ · 3 phòng tắm	3,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Blu One Elegant 2 bedrooms Apartment #3	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,690,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	DHP LUXURY Warming 05	2 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Atlantica Balcony Ocean View Nha Trang	2 khách · 1 Phòng ngủ · 1 phòng tắm	2,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments - Twin Room with Balcony	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,250,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments - Triple Room with Balcony	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,390,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Suite 3 406	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	SENS HOUSE - BEACH FRONT❤️Family Private Room❤️AIRPORT PICKUP	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,350,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	HaMy Apartment góc biển	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	HaMy Apartment xéo biển 2	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Lãm Homestay | 4 PN | Nhóm Bạn Gia Đình Lớn (8-12)	12 khách · 4 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	[VIEVID 2] Căn hộ view biển trong KS 4* Ariyana Nha Trang	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,121,000₫/đêm 1,180,000₫	Nha Trang, Khánh Hòa, Vietnam	3	
Căn hộ Studio	KiiM Beachfront Căn Hộ Cao Cấp 4* Hướng Biển 2110	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,166,000₫/đêm 2,200,000₫	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	LÀHOME RETREATS	8 khách · 4 Phòng ngủ · 6 phòng tắm	11,815,000₫/đêm 13,900,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Hello Nha Trang ~ Nhà Xanh Lá ~ Ngay Chợ Đầm trung tâm thành phố	8 khách · 2 Phòng ngủ · 1 phòng tắm	880,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Mộc Homestay Nha Trang - Family Room With Mountain Feel 301	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	4* T&T Beachfront Hon Chong Center Apartment Nha Trang	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,150,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	Anrizon Nha Trang Premium Sea view	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,180,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Căn hộ view biển 2 phòng ngủ Nha Trang	6 khách · 2 Phòng ngủ · 2 phòng tắm	500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Hoàng Anh Hotel & Apartments	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	OseaTop - Penthouse View Biển - Nha Trang	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,368,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Together House - Cozy 4 Beds Dormitory For Group	6 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Seaview Apartment Deluxe 7 ( 2 Phòng ngủ )	8 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Goodmorning Nha Trang Room #01	6 khách · 1 Phòng ngủ · 1 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Klaus Resort 4 Star - Deluxe River View Balcony	2 khách · 1 Phòng ngủ · 1 phòng tắm	790,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	THOA CHINH Mường Thanh Viễn Triều Apartment 9.04 Nha Trang	6 khách · 2 Phòng ngủ · 2 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Nhà Cô Châu - Mường Thanh Khánh Hòa	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	V3 Hostel - Phòng đôi tầng 1 - 103	4 khách · 1 Phòng ngủ · 1 phòng tắm	330,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Merci Home - Purple Room (2beds) 403	4 khách · 1 Phòng ngủ · 1 phòng tắm	710,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Tee Dee - White Room with attic N.2	2 khách · 1 Phòng ngủ · 1 phòng tắm	480,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Fairy Bay 3* Deluxe double	2 khách · 1 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	SUPERIOR WITH BALCONY Apartment - 202	3 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Căn hộ Nha Trang City Central	TuLip Apartment & Hotel & Homestay cạnh Mường Thanh , Hòn Chồng - phòng đẹp yên tĩnh, an ninh	2 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Eighteen House - One-Bedroom Apartment	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Hoàng Kim -Two bedroom river view	6 khách · 2 Phòng ngủ · 2 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Hoàng Long Apartment - 402	6 khách · 2 Phòng ngủ · 1 phòng tắm	825,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Dương Dương - Sweet Home In Nha Trang - 1822	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	LeNa Apartment 602	4 khách · 1 Phòng ngủ · 1 phòng tắm	780,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Great seaview Big balcony "Real"5*, bathtub, pool (409)	4 khách · 1 Phòng ngủ · 1 phòng tắm	3,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Marine Home	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Suite 2 302	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Suite 2 402	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Suite 2 502	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	LiLy Apartment - Suite 3 306	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	S69 NhaTrang - 1 Bedroom - Moutain View with Balcony	2 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Bluesea House - Muong Thanh	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Muong Thanh Oceanus Apartment	6 khách · 2 Phòng ngủ · 2 phòng tắm	800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Uplaza homestay - 4 bedrooms	10 khách · 4 Phòng ngủ · 3 phòng tắm	1,800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	Le Giang Studio (Cách biển 150m)	4 khách · 1 Phòng ngủ · 1 phòng tắm	550,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
