Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Căn hộ chung cư · Best Western Premier Sapphire Hạ Long (The Sapphire Residence)	CHAMPAGNE HOMESTAY HẠ LONG II	10 khách · 3 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Khác	Legacy Yen Tu - Superior Room 2 Single Size Beds with Mountain View	2 khách · 1 Phòng ngủ · 1 phòng tắm	3,945,000₫/đêm	Uông Bí, Quảng Ninh, Vietnam	
Khác	Legacy Yen Tu - Deluxe Room 2 Single Size Beds with Village View	2 khách · 1 Phòng ngủ · 1 phòng tắm	4,510,000₫/đêm	Uông Bí, Quảng Ninh, Vietnam	
Căn hộ chung cư · Best Western Premier Sapphire Hạ Long (The Sapphire Residence)	The Sapphire Residence Aparment	6 khách · 2 Phòng ngủ · 1 phòng tắm	1,650,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Best Western Premier Sapphire Hạ Long (The Sapphire Residence)	Bun Homestay Sapphire Ha Long The Most Breathtaking View	14 khách · 4 Phòng ngủ · 3 phòng tắm	3,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Green Bay Premium Hạ Long	HaLong Dragon Homestay 1713	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Miss Ha Long Bay (Sea View)	10 khách · 3 Phòng ngủ · 2 phòng tắm	1,800,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	6	
Căn hộ chung cư · Green Bay Premium Hạ Long	New & Luxury 2BRApt★Stunning Bay View★8 Sleep	8 khách · 2 Phòng ngủ · 2 phòng tắm	500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Best Western Premier Sapphire Hạ Long (The Sapphire Residence)	Lavista * Sapphire Homestay 8 * City view	6 khách · 2 Phòng ngủ · 1 phòng tắm	1,050,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Biệt Thự · Hạ Long Marina	Little Halong Villas, Lake side	10 khách · 3 Phòng ngủ · 3 phòng tắm	2,270,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Beautiful Aparment, Sea View Halong	10 khách · 3 Phòng ngủ · 2 phòng tắm	999,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Tổ hợp chung cư Sunrise	Ali-Homestay Hạ Long	8 khách · 2 Phòng ngủ · 1 phòng tắm	900,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Khác	Luxstay Hotel @ Sweet Double Room with Beautiful View in Ha Long Center	2 khách · 1 Phòng ngủ · 1 phòng tắm	720,000₫/đêm 800,000₫	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	VILLA HARADISE SUITE HẠ LONG - Phòng Giường Đôi	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Khác · Vinhomes Dragon Bay	Future Hạ Long homestay 2	2 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Khác · Vinhomes Dragon Bay	Future Hạ Long homestay 3	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Green Bay Premium Hạ Long	Luxury House Halong	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,190,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	Mộc Homestay Hạ Long_Phòng Đơn 01	2 khách · 1 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Green Bay Premium Hạ Long	Luxurious 2 bedrooms apartment for rent long term	4 khách · 2 Phòng ngủ · 2 phòng tắm	985,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	Mộc Homestay Hạ Long_Phòng Đơn 02	2 khách · 1 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	Mộc Homestay Hạ Long_Phòng Đơn 03	2 khách · 1 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	Mộc Homestay Hạ Long_Phòng Dorm 01	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,150,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Khác · Vinhomes Dragon Bay	Future Hạ Long homestay 1	2 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	VILLA HARADISE SUITE HẠ LONG - Phòng Giường Đơn	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	Kây Homestay - 5BRs	20 khách · 5 Phòng ngủ · 5 phòng tắm	5,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ dịch vụ	The Bay - Ha Long Homestay Double Room 1	3 khách · 1 Phòng ngủ · 1 phòng tắm	366,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Green Bay Premium Hạ Long	Hạ Long Greenbay	6 khách · 2 Phòng ngủ · 1 phòng tắm	1,400,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng · Vinhomes Dragon Bay	La Lumiere Harbor House Hạ Long - Bay View	25 khách · 5 Phòng ngủ · 5 phòng tắm	3,440,000₫/đêm 4,300,000₫	Hạ Long, Quảng Ninh, Vietnam	
Biệt Thự	Family Homestay	15 khách · 6 Phòng ngủ · 6 phòng tắm	3,600,000₫/đêm 4,500,000₫	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư	Ode to Joy in Halong	6 khách · 3 Phòng ngủ · 2 phòng tắm	1,700,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Fronix Premier Apartment ★ 3BR View Biển, Bể bơi, Spa, Gym	9 khách · 3 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	L amour Bayview	4 khách · 2 Phòng ngủ · 2 phòng tắm	650,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Green Bay Premium Hạ Long	SkyBay HomeTel Ha Long - Green Bay Premium 2303	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	Bayhouse luxury for up to 20 guest	20 khách · 4 Phòng ngủ · 4 phòng tắm	3,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	The Kây Homestay-3Br- Villa Nguyên Căn-BBQ-Full equipments	10 khách · 3 Phòng ngủ · 3 phòng tắm	1,300,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Căn hộ chung cư	The Wings Bến Đoan, căn hộ cao cấp 2PN bên bờ Vịnh	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Khác · Vinhomes Dragon Bay	Deja Vu 2 - Room II301	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,215,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Khác · Vinhomes Dragon Bay	Deja Vu 2 - Room II302	2 khách · 1 Phòng ngủ · 1 phòng tắm	765,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư Green Bay Garden	ENTIRE| New & Cozy Unique Condo| STUNNING BAY VIEW	5 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Biệt Thự · Lotus Residences - Nhà liền kề nghỉ dưỡng Vạn Liên	Villa Hạ Long Deluxe 3BR ★ Resort, Vịnh Hạ Long, Sunworld	12 khách · 3 Phòng ngủ · 4 phòng tắm	1,590,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Hạ Long homestay - Căn hộ 709B - Căn hộ cao cấp, 3pn, nằm tại trung tâm khu du lịch, view biển, có bể bơi	15 khách · 3 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	10	
Căn hộ chung cư	Căn hộ Green Bay 2 phòng ngủ có BỂ BƠI, Ban Công trồng rau, VIEW BIỂN, Khóa cửa điện tử - MinhF's Stay -	8 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Khác · Vinhomes Dragon Bay	Deja Vu 2 - Room II203	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,060,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Biệt Thự	Vinhomes Freesia Villa	15 khách · 4 Phòng ngủ · 4 phòng tắm	4,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	4	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	908 new life view biển	8 khách · 2 Phòng ngủ · 2 phòng tắm	850,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	3	
Căn hộ chung cư · Green Bay Premium Hạ Long	Angela House - R1	4 khách · 2 Phòng ngủ · 2 phòng tắm	900,150₫/đêm 1,059,000₫	Hạ Long, Quảng Ninh, Vietnam	3	
Nhà riêng	Sapota homestay - Hạ Long	16 khách · 4 Phòng ngủ · 4 phòng tắm	4,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Minh Phúc Homestay 1208C	7 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Căn hộ chung cư	Dolphin Hạ Long homestay	8 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	4	
Biệt Thự · Vinhomes Dragon Bay	Villa 5pn Marina homestay Ha Long	20 khách · 5 Phòng ngủ · 5 phòng tắm	3,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư	The Wings Bến Đoan, căn hộ cao cấp 2PN bên bờ Vịnh	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Căn hộ chung cư · Green Bay Premium Hạ Long	505 - CT1 Green bay tower hạ long	7 khách · 2 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	5	
Căn hộ chung cư	The sapphire apartment	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ Studio	Vinhome Freesia Villa tầng 1 , cách biển 5M	6 khách · 2 Phòng ngủ · 1 phòng tắm	1,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Green Bay Premium Hạ Long	chuột homestay 3 Phòng ngủ	7 khách · 3 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Best Western Premier Sapphire Hạ Long (The Sapphire Residence)	Nhật Nam Homestay Hạ Long	8 khách · 2 Phòng ngủ · 2 phòng tắm	2,300,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư	HOMESTAY NEW LIFE TOWER - 03 PN	12 khách · 3 Phòng ngủ · 2 phòng tắm	2,700,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Biệt Thự	MiNa's House	20 khách · 5 Phòng ngủ · 5 phòng tắm	2,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư	Flower Homestay Ha Long	7 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư	Hi.Home#7 Deluxe Apartment SEA VIEW @ HALONG BAY	6 khách · 2 Phòng ngủ · 1 phòng tắm	1,300,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Homestay Hạ Long Căn 3 ngủ tầng 12 view Biển	10 khách · 3 Phòng ngủ · 3 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Ivy House- Urban Homestay Halong	8 khách · 2 Phòng ngủ · 2 phòng tắm	800,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Best Western Premier Sapphire Hạ Long (The Sapphire Residence)	Luxurious Apartment Sapphire Ha Long - 2 Bedroom	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,280,000₫/đêm 1,600,000₫	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Best Western Premier Sapphire Hạ Long (The Sapphire Residence)	Luxurious Apartment Sapphire Ha Long - 3 Bedroom	9 khách · 3 Phòng ngủ · 2 phòng tắm	1,840,000₫/đêm 2,300,000₫	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư	Newlife 0909A Halong	14 khách · 3 Phòng ngủ · 2 phòng tắm	1,300,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư	Chung cư New Life	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,072,458₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư	HOMESTAY NEW LIFE TOWER - 02 PN	8 khách · 2 Phòng ngủ · 2 phòng tắm	1,600,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Nhà riêng	Villa Hoa giấy đảo Quan Lạn - Con tàu cảm xúc	25 khách · 7 Phòng ngủ · 9 phòng tắm	3,500,000₫/đêm	Vân Đồn, Quảng Ninh, Vietnam	
Biệt Thự	HaLong Greenbay C01	12 khách · 4 Phòng ngủ · 4 phòng tắm	2,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Best Western Premier Sapphire Hạ Long (The Sapphire Residence)	Hi-Home#9✩2BR Apartment✩BEST BAY VIEW @HALONG BAY	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Green Bay Premium Hạ Long	Mr Ck Green Bay	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,300,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư	Sunrise Apartment	6 khách · 2 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Bana House	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Homestay BÃI CHÁY	6 khách · 2 Phòng ngủ · 2 phòng tắm	850,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư	Luxury homestay Hạ Long The Sapphire Residence	6 khách · 2 Phòng ngủ · 2 phòng tắm	2,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư	Oceans in sight - Homestay Ha Long	7 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư	Căn hộ chung cư khách sạn 1208C - Newlife Tower Hạ Long	7 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Rooster Homestay Hạ Long | 3 phòng ngủ VIEW BIỂN	12 khách · 3 Phòng ngủ · 2 phòng tắm	1,600,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Green Bay Premium Hạ Long	chuột homestay căn 2 Phòng ngủ No.2	5 khách · 2 Phòng ngủ · 2 phòng tắm	950,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Hometel Hạ Long Newlife Tower	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	TROPICAL BAY - Elegant Sunset Suite in Bai Chay	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,700,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Seabreeze house	6 khách · 2 Phòng ngủ · 2 phòng tắm	650,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Best Western Premier Sapphire Hạ Long (The Sapphire Residence)	Luxurious Apartment Sapphire Ha Long - 1 Bedroom	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,040,000₫/đêm 1,300,000₫	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng · Hạ Long Marina	MT homestay villa	15 khách · 3 Phòng ngủ · 3 phòng tắm	2,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Biệt Thự · FLC Hạ Long Bay Golf Club & Luxury Resort	PaDay-VILLA FLC HẠ LONG	12 khách · 4 Phòng ngủ · 5 phòng tắm	9,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Khác	Coto Eco Lodge	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,200,000₫/đêm	Cô Tô, Quảng Ninh, Vietnam	
Căn hộ dịch vụ · Chung cư New Life Tower Hạ Long	Salito Home 2601C NewLife Hạ Long 3bedroom - SEA View	12 khách · 3 Phòng ngủ · 2 phòng tắm	2,450,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	HaLong center house 2	2 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ dịch vụ · Mon Bay Hạ Long	Ha Long Beach Hotel Superior Twin Room with Bay View in Ha Long Center	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Green Bay Premium Hạ Long	Manarola Homestay Hạ Long	6 khách · 2 Phòng ngủ · 2 phòng tắm	789,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Green Bay Premium Hạ Long	Mercury House Green Bay Premium	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Loving Homestay	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,090,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Green Bay Premium Hạ Long	A Halong Corner	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,155,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Homestay BINBONG BÃI CHÁY	16 khách · 3 Phòng ngủ · 2 phòng tắm	2,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Căn hộ chung cư · Green Bay Premium Hạ Long	Angela House - R3	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,399,950₫/đêm 1,647,000₫	Hạ Long, Quảng Ninh, Vietnam	5	
Căn hộ chung cư · Green Bay Premium Hạ Long	Asahi Luxstay- Halong Bayview 3Br Apartment	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,530,000₫/đêm 1,800,000₫	Hạ Long, Quảng Ninh, Vietnam	4	
Biệt Thự	Villa Vinhome Dragon Bay Hạ Long	16 khách · 6 Phòng ngủ · 7 phòng tắm	5,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Căn hộ chung cư · Green Bay Premium Hạ Long	Allas Luxury Apartment with island view	7 khách · 3 Phòng ngủ · 2 phòng tắm	1,800,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Bai Chay Ha Long Homestay New Liife 2403A	7 khách · 2 Phòng ngủ · 2 phòng tắm	1,300,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	4	
Căn hộ chung cư	Dreamer Homestay Apartment Seaview - New Life Tower	8 khách · 2 Phòng ngủ · 2 phòng tắm	850,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	4	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Newlife 3BR Apartment	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Biệt Thự	Victoria La Villa	20 khách · 4 Phòng ngủ · 5 phòng tắm	4,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Green Bay Premium Hạ Long	Asahi Luxstay- Halong Bayview 2Br Apartment	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,020,000₫/đêm 1,200,000₫	Hạ Long, Quảng Ninh, Vietnam	3	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	2611A Newlife Apartment	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Nhà riêng	Sky Homestay - Deluxe Room with Balcony	2 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Biệt Thự · Vinhomes Dragon Bay	Villa ocean view	13 khách · 6 Phòng ngủ · 6 phòng tắm	7,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư	The Sapphire Apartment	6 khách · 2 Phòng ngủ · 1 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	La Casa Homestay (Two bedrooms)	10 khách · 2 Phòng ngủ · 2 phòng tắm	1,350,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Nhà riêng	CHUNG VŨ Homestay - BBQ party on the BEACH with the sunset of Co To Island	4 khách · 1 Phòng ngủ · 1 phòng tắm	799,000₫/đêm	Cô Tô, Quảng Ninh, Vietnam	1	
Biệt Thự	Villa căn góc 4 phòng ngủ cao cấp Green Bay Village ở được đến 20 người	22 khách · 4 Phòng ngủ · 6 phòng tắm	4,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư	Color Homestay Hạ Long	10 khách · 3 Phòng ngủ · 2 phòng tắm	950,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Nhà riêng	Sky Homestay	20 khách · 7 Phòng ngủ · 6 phòng tắm	3,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Căn hộ chung cư · Green Bay Premium Hạ Long	Angela House - R2	4 khách · 2 Phòng ngủ · 2 phòng tắm	900,150₫/đêm 1,059,000₫	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư	3 Bedrooms suit close to the sea [Daisy Home]	10 khách · 3 Phòng ngủ · 2 phòng tắm	2,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Nhà riêng	Delava homestay in center of Ha Long	20 khách · 6 Phòng ngủ · 3 phòng tắm	3,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Nhà riêng	Cô Tô Homestay Hà Lài - Phòng Đơn	2 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Cô Tô, Quảng Ninh, Vietnam	1	
Nhà riêng	Mộc Homestay Hạ Long_Phòng Dorm 02	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,150,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Nhà riêng	HaLong Trendy Standard 2	2 khách · 1 Phòng ngủ · 1 phòng tắm	320,000₫/đêm 400,000₫	Hạ Long, Quảng Ninh, Vietnam	2	
Biệt Thự	HaLong Trendy Standard 1	2 khách · 1 Phòng ngủ · 1 phòng tắm	312,000₫/đêm 390,000₫	Hạ Long, Quảng Ninh, Vietnam	
Biệt Thự	HaLong Trendy Homestay	50 khách · 14 Phòng ngủ · 14 phòng tắm	6,800,000₫/đêm 8,500,000₫	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Sunny Apartment in Bai Chay - Room 1507	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,300,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Beautiful HomeStay 2 Br - Cách bãi tắm 2 phút đi bộ	7 khách · 2 Phòng ngủ · 2 phòng tắm	1,550,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư	Family House	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	New Life 26F Apartment	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Biệt Thự	Blue Ocean	14 khách · 6 Phòng ngủ · 6 phòng tắm	3,150,000₫/đêm 4,500,000₫	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Green Bay Premium Hạ Long	GreenBay Hạ Long	6 khách · 3 Phòng ngủ · 1 phòng tắm	2,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư	Căn hộ 2 phòng ngủ trung tâm du lịch Bãi Cháy	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,350,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Nhà riêng	Deja Vu 1 - Room 201	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,250,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	11	
Biệt Thự	Villa 5 phòng ngủ, 9 giường, 6 vệ sinh, sân rộng để tổ chức tiệc BBQ	25 khách · 5 Phòng ngủ · 6 phòng tắm	4,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Green Bay Premium Hạ Long	Premier Condotel Halong	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư	Sunrise Hạ Long Homestay	6 khách · 2 Phòng ngủ · 1 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Khác	Legacy Yen Tu - Deluxe Room 1 King Size Bed with Mountain View	2 khách · 1 Phòng ngủ · 1 phòng tắm	4,530,000₫/đêm	Uông Bí, Quảng Ninh, Vietnam	
Căn hộ chung cư · Best Western Premier Sapphire Hạ Long (The Sapphire Residence)	Oceanica, Căn hộ ngắm biển tầng 19 chung cư The Sapphire Residence, Hạ Long	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,290,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Best Western Premier Sapphire Hạ Long (The Sapphire Residence)	CHAMPAGNE HOMESTAY HẠ LONG	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,300,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
