Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Căn hộ chung cư · Vũng Tàu Melody	Vung Tau BB Homestay #8 - Melody Luxury Apartment, 5min to sea	12 khách · 2 Phòng ngủ · 2 phòng tắm	392,000₫/đêm 400,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	3	
Căn hộ dịch vụ	The Avis Apartment - Attic Double 302	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	3	
Căn hộ chung cư	| NEN 2 | APT 108m2, 5mins walk to the beach	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	3	
Biệt Thự	CIRCLEHOMESTAY - VIEW BIỂN	25 khách · 5 Phòng ngủ · 5 phòng tắm	1,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	Melody Vũng Tàu Apartment, gần biển, khu ăn uống_PLV1	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ · Vũng Tàu Melody	Lùn Homestay - Căn Hộ Đẹp, Giá Rẻ Vũng Tàu, Căn B7-16, 2 Phòng Ngủ, 2WC Tại Cao Ốc Vũng Tàu Melody - Căn Hộ View Biển Cực Xinh Xắn	15 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	Vung Tau Golf & Sea view PhoenixC24	10 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	Vung Tau Milan Homestay 7-The Queen Melody Apartment (A7-6)	12 khách · 2 Phòng ngủ · 2 phòng tắm	585,000₫/đêm 650,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	7	
Căn hộ chung cư · Seaview Chí Linh	Seaview Vũng Tàu	9 khách · 3 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	Bi Home	10 khách · 3 Phòng ngủ · 2 phòng tắm	1,600,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư	Pandora Lapen Center	11 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Blue Sapphire Resort Vũng Tàu	Bạn muốn "Trốn" nóng tại Bãi biển Đẹp Nhất Vũng Tàu?	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,850,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	MT House Ngọc Tước Single room	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,750,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư	Katia's Home - Căn hộ 2 phòng ngủ (DIC Phoenix)	10 khách · 2 Phòng ngủ · 1 phòng tắm	1,840,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	THIEN HOANG HOMESTAY - YELLOW LUCKY HOUSE BACK BEACH (200M)	12 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ · Chung cư Sơn Thịnh	Căn hộ nghỉ dưỡng Vũng Tàu - 2	12 khách · 2 Phòng ngủ · 3 phòng tắm	1,200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ · Chung cư Sơn Thịnh	Căn hộ cao cấp Sơn Thịnh giáp biển Bãi sau Vũng Tàu, tầng cao, view biển núi đẹp	10 khách · 2 Phòng ngủ · 3 phòng tắm	1,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư	Vung Tau Melody Apartment 1	7 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	Ben House Melody	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	Thiên Phú Homestay	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,550,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư	Happyhouse-Seaview, Lakeview, swimming pool	12 khách · 3 Phòng ngủ · 3 phòng tắm	1,200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	Secret Garden Coffee and Homestay - Vũng Tàu 300m to the beach	30 khách · 6 Phòng ngủ · 7 phòng tắm	3,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	Mơ homestay	8 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	VIKING HOUSE (Double room 2 for 4 people)	4 khách · 1 Phòng ngủ · 1 phòng tắm	250,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	The Avis Apartment - Attic Double 401	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	10	
Nhà riêng	T'House	28 khách · 5 Phòng ngủ · 6 phòng tắm	750,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	XANH Homestay - Room 201	4 khách · 1 Phòng ngủ · 1 phòng tắm	300,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	Villa Sani06	16 khách · 6 Phòng ngủ · 5 phòng tắm	2,700,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	VUNG TAU ROYAL 6ROOMS SUPERIOR POOL VILLA	20 khách · 6 Phòng ngủ · 6 phòng tắm	6,775,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	Lami Homestay	8 khách · 2 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	Vivu Homes	35 khách · 4 Phòng ngủ · 5 phòng tắm	1,400,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	Phuc's house - Apartment with 3 bedrooms 4 wc suitable for family	15 khách · 3 Phòng ngủ · 4 phòng tắm	840,000₫/đêm 1,200,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	WINNER POOL VILLA 2	12 khách · 4 Phòng ngủ · 5 phòng tắm	8,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	PHI PHI NHÀ PHỐ - XANH MÁT NHƯ BIỂN HỒ	30 khách · 4 Phòng ngủ · 4 phòng tắm	1,886,000₫/đêm 2,300,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	Biệt thự cao cấp Trần phú sát biển	16 khách · 4 Phòng ngủ · 5 phòng tắm	12,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	Luxury Apartment Melody	10 khách · 2 Phòng ngủ · 2 phòng tắm	850,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	Royal Villa 3 - Biệt thự nghỉ dưỡng tuyệt vời cho bạn	30 khách · 6 Phòng ngủ · 6 phòng tắm	8,890,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	FornyRose Homestay	25 khách · 4 Phòng ngủ · 4 phòng tắm	2,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	Homestay KA- Gần biển 4 phút đi bộ, rộng đẹp hấp dẫn.	21 khách · 7 Phòng ngủ · 8 phòng tắm	1,800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Khác	Căn phòng nhóm với ban công có view sân vườn và hồ bơi thuỷ lực	16 khách · 2 Phòng ngủ · 2 phòng tắm	1,750,000₫/đêm 2,500,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	Fullhouse Sea View Valley Mountain	2 khách · 1 Phòng ngủ · 1 phòng tắm	2,450,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	Căn hộ cao cấp Mai Linh hướng biển cạnh bãi trước Vũng tàu	6 khách · 2 Phòng ngủ · 2 phòng tắm	2,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	chu's homestay Vung Tau	20 khách · 2 Phòng ngủ · 3 phòng tắm	2,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	Sky Ahead Home	20 khách · 6 Phòng ngủ · 7 phòng tắm	5,400,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	Villa Viet Home 9	25 khách · 5 Phòng ngủ · 4 phòng tắm	2,400,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Blue Sapphire Resort Vũng Tàu	Blue Sapphire Resort - Sea View 2BR Flat - 2 Mins to the Beach	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,150,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	16	
Biệt Thự	ED2983 – EDDY DELUXE VILLA	10 khách · 3 Phòng ngủ · 3 phòng tắm	2,942,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	Sơn Hà Homestay - Căn Hộ Có Gác	10 khách · 1 Phòng ngủ · 1 phòng tắm	2,200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	New 08 bedrooms big pool back Beach and BBQ garden	20 khách · 8 Phòng ngủ · 8 phòng tắm	13,298,480₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	MiutiCarii HomeStay - Phòng Giường Tầng ( 8 - 13 người )	12 khách · 1 Phòng ngủ · 1 phòng tắm	1,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Khác	Standard Room Next to Vung Tau BEACH, 3' By Walk - VT 2269	2 khách · 1 Phòng ngủ · 1 phòng tắm	232,000₫/đêm 290,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Khác	Cozy Room Next to Vung Tau BEACH, 3' By Walk - VT 2269	2 khách · 1 Phòng ngủ · 1 phòng tắm	232,000₫/đêm 290,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	Un Ricordo Homestay 2	10 khách · 2 Phòng ngủ · 2 phòng tắm	550,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	KyO-Homestay - Căn Hộ Nghỉ Dưỡng Cao Cấp	10 khách · 2 Phòng ngủ · 2 phòng tắm	700,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ · Vũng Tàu Melody	Green Homestay Vũng Tàu	13 khách · 2 Phòng ngủ · 2 phòng tắm	550,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	Homestay ngay bãi sau Thùy Vân - Vũng Tàu - Bamboo Forest room	8 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ Studio · Vũng Tàu Melody	Un Ricordo 22 - Oceanview Superior Apartment	12 khách · 2 Phòng ngủ · 2 phòng tắm	550,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	MT House Ngọc Tước	10 khách · 2 Phòng ngủ · 2 phòng tắm	4,900,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	Katia's Home - Căn hộ 2 phòng ngủ (Tòa Melody Vũng Tàu)	11 khách · 2 Phòng ngủ · 1 phòng tắm	2,300,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ · Cao ốc Dịch vụ Du lịch Sơn Thịnh 2	02 Lê Hồng Phong, phường Thắng Tam, Vũng Tàu, tỉnh Bà rịa - Vũng Tàu	10 khách · 2 Phòng ngủ · 2 phòng tắm	1,800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	VIKING House	45 khách · 11 Phòng ngủ · 11 phòng tắm	3,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Chung cư Vũng Tàu Plaza	(::) Welcome B1504 cute and Design Apt !@@!	15 khách · 3 Phòng ngủ · 2 phòng tắm	2,359,408₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Khác	Homestay Seaview Vũng Tàu - phòng lucky- 2 giường đôi	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	Kim Minh Home - Room 04	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,300,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ · Chung cư Sơn Thịnh	Căn hộ nghỉ dưỡng Vũng Tàu - 1	15 khách · 3 Phòng ngủ · 4 phòng tắm	2,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	Misa House Homestay Near Back Beach VT	16 khách · 5 Phòng ngủ · 6 phòng tắm	7,059,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ · Vũng Tàu Melody	A17 tầng 16 MELODY, CAN HO 2 PHONG NGU, 1 PHONG KHACH, 1 NHA BEP, 2 PHONG TAM, VIEW BIỂN	8 khách · 2 Phòng ngủ · 2 phòng tắm	500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự · Oyster Gành Hào (Vietpearl Gành Hào)	Desami Villa	20 khách · 5 Phòng ngủ · 4 phòng tắm	1,800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Saigonres Tower	Homestay Đậu Vừng - Sạch sẽ, An Toàn, Thân Thiện Cho cả Gia Đình	10 khách · 2 Phòng ngủ · 2 phòng tắm	460,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư	Silver Sea Tower	6 khách · 2 Phòng ngủ · 3 phòng tắm	1,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	Tomorrow Homestay Melody Deluxe	8 khách · 2 Phòng ngủ · 1 phòng tắm	495,000₫/đêm 550,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư	Căn hộ 3 phòng ngủ sát bờ biển Bãi sau Vũng Tàu, lãng mạn và sang trọng	12 khách · 3 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	5	
Căn hộ chung cư · Vũng Tàu Melody	VT Milan Homestay 11 - Sunset Melody Apartment (A2-14)	12 khách · 2 Phòng ngủ · 2 phòng tắm	495,000₫/đêm 550,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư	Dreamy Seaside - Chung cư view biển Vũng Tàu	5 khách · 1 Phòng ngủ · 1 phòng tắm	1,100,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	10	
Căn hộ chung cư	Căn hộ 2 PN ,view đẹp tầng 27	11 khách · 2 Phòng ngủ · 2 phòng tắm	1,350,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Khác	Seaview homestay Vũng Tàu - Phòng Gia đình view sân vườn đẹp	8 khách · 1 Phòng ngủ · 1 phòng tắm	769,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư	Lapen Center 03 - Cozy & Modern Apartment with City View	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	GRAND VILLA RESIDENCE VIP Apartment 196	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,686,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Khác	RedDoorz Suite Room Next to Vung Tau BEACH,3' Walk - VT 2269	6 khách · 1 Phòng ngủ · 1 phòng tắm	462,000₫/đêm 577,500₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Khác	Suite Room Next to Vung Tau BEACH, 3' By Walk - VT 2269	6 khách · 1 Phòng ngủ · 1 phòng tắm	462,000₫/đêm 577,500₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	Tropicana Homestay	12 khách · 4 Phòng ngủ · 3 phòng tắm	1,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Căn hộ OSC LAND	Cozy Apartment for max6p-10th flr, 5 mins to Beach	6 khách · 2 Phòng ngủ · 2 phòng tắm	500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Khác	Seaview homestay Vũng Tàu - Phòng Deluxe Giường đôi view sân vườn có hoa trước thềm cửa	5 khách · 1 Phòng ngủ · 1 phòng tắm	519,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Cao ốc Dịch vụ Du lịch Sơn Thịnh 2	Căn hộ sát biển có hồ bơi Sơn Thịnh 2	10 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	VIKING House Single room 3	2 khách · 1 Phòng ngủ · 1 phòng tắm	150,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	VIKING House Single room 4	2 khách · 1 Phòng ngủ · 1 phòng tắm	150,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	VIKING House Single room 2	2 khách · 1 Phòng ngủ · 1 phòng tắm	150,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	VIKING HOUSE Double Room 3 for 4 people	4 khách · 1 Phòng ngủ · 1 phòng tắm	250,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	VIKING HOUSE Double Room 4 for 4 people	4 khách · 1 Phòng ngủ · 1 phòng tắm	250,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	Big Mama Hostel - Phòng Family, Toilet Ngoài	6 khách · 1 Phòng ngủ · 1 phòng tắm	540,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ Studio	Big Mama Hostel - Phòng Toilet Ngoài Không cửa sổ	3 khách · 1 Phòng ngủ · 1 phòng tắm	360,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	XANH Homestay - Room 102	3 khách · 1 Phòng ngủ · 1 phòng tắm	200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ Studio · Căn hộ Fusion Suites Vũng Tàu	Big Mama Hostel - Phòng Standard	2 khách · 1 Phòng ngủ · 1 phòng tắm	360,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Cao ốc Dịch vụ Du lịch Sơn Thịnh 2	Blue Sky	10 khách · 2 Phòng ngủ · 2 phòng tắm	1,170,000₫/đêm 1,300,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	XANH Homestay - Room 103	3 khách · 1 Phòng ngủ · 1 phòng tắm	200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	XANH Homestay - Room 104	6 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	XANH Homestay - Room 202	3 khách · 1 Phòng ngủ · 1 phòng tắm	200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Chung cư Sơn Thịnh	Căn Hộ	12 khách · 2 Phòng ngủ · 2 phòng tắm	850,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	XANH Homestay - Room 204	6 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	Hao Homestay- Chung cư Blue sea gần bãi sau	8 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	BHV B919	8 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Căn hộ OSC LAND	Căn hộ 2 phòng ngủ view đẹp, gần biển - OSC Land Building	6 khách · 2 Phòng ngủ · 2 phòng tắm	550,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự · Vũng Tàu Melody	Home Villa Vung Tau	35 khách · 5 Phòng ngủ · 7 phòng tắm	2,450,000₫/đêm 3,500,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư	CĂN HỘ DIC PHOENIX	4 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Khác	Homestay Seaview Vũng Tàu - Phòng honeymoon- 1 giường đôi	1 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Khác	Phòng happy ( hai giường đôi)	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Khác	Homestay Seaview Vũng Tàu - Phòng diamon- 2 giường đôi	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Khác	SunSea Villa - DELUXE 4	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,400,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư	May - Vung Tau Homestay, 3PN, 5 Giường đôi, cách biển 500m	10 khách · 3 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	Villa Viet Home 2	20 khách · 4 Phòng ngủ · 4 phòng tắm	2,250,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	White Villa Sân Vườn Có Hồ Bơi Lớn - 7 Phòng Ngủ	45 khách · 7 Phòng ngủ · 9 phòng tắm	5,200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	La Rose Villa	20 khách · 5 Phòng ngủ · 4 phòng tắm	1,990,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	GRAND VILLA RESIDENCE Luxury Apartment 196	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,526,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư	Căn hộ cao cấp Sơn Thịnh	12 khách · 2 Phòng ngủ · 3 phòng tắm	1,350,000₫/đêm 1,500,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ · Vũng Tàu Melody	Ocean Home, 3 bedroom apartment with sea view	15 khách · 3 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Khác	Chi Homestay phòng nhóm view sân vườn, bể sục spa.	8 khách · 1 Phòng ngủ · 1 phòng tắm	1,050,000₫/đêm 1,500,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	Villa gần Paradise	20 khách · 5 Phòng ngủ · 6 phòng tắm	2,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	Villa - 50A	20 khách · 5 Phòng ngủ · 5 phòng tắm	3,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	Kim Minh Home - Room 05	2 khách · 1 Phòng ngủ · 1 phòng tắm	900,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	Chung Cư Melody Vũng Tàu - 2 phòng ngủ	10 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư	Nancy bluesea condotel apartment	15 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	Căn hộ Vũng Tàu Melody - View biển - 2 phòng ngủ - cách biển 3p đi bộ | Your Homestay |	10 khách · 2 Phòng ngủ · 2 phòng tắm	400,000₫/đêm 500,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư	Nancy Sweet Apartment - 5th 2	8 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	Sweet Home	20 khách · 3 Phòng ngủ · 4 phòng tắm	2,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	Pooh Homestay 12 - Cozy House	15 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	GRAND VILLA RESIDENCE VIP Room 118	4 khách · 2 Phòng ngủ · 1 phòng tắm	2,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	2 Bedrooms near The Beach	8 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
